词语	拼音	词性	分级	义类编码
心疼	xīnténg	动	2	伍五Ga
心疼	xīnténg	动	2	伍五Kb
心田	xīntián	名	3	叁三Ab
心跳	xīn//tiào	动	1	伍二Fa
心头	xīntóu	名	2	叁三Ab
心心相印	xīnxīn-xiāngyìn		3	捌四Ra
心胸	xīnxiōng	名	3	叁二Id
心胸	xīnxiōng	名	3	叁三Ea
心虚	xīn//xū	形	3	伍五Ee
心虚	xīn//xū	形	3	捌五De
心绪	xīnxù	名	4	叁三Bc
心血	xīnxuè	名	2	叁三Aa
心血来潮	xīnxuè-láicháo		2	伍五Db
心眼儿	xīnyǎnr	名	3	叁二Id
心眼儿	xīnyǎnr	名	3	叁三Ab
心意	xīnyì	名	3	叁三Bb
心猿意马	xīnyuán-yìmǎ		4	伍五Na
心愿	xīnyuàn	名	2	叁三Cc
心悦诚服	xīnyuè-chéngfú		4	伍五Qc
心脏	xīnzàng	名	2	壹五Ak
心脏	xīnzàng	名	3	叁二Dd
心直口快	xīnzhí-kǒukuài		3	捌五Ce
芯片	xīnpiàn	名	4	贰八Cb
辛	xīn	名	4	肆一Ab
辛苦	xīnkǔ	动	2	陆九Ib
辛苦	xīnkǔ	形	1	捌六Jb
辛辣	xīnlà	形	3	捌二Ja
辛劳	xīnláo	形	3	捌六Jb
辛勤	xīnqín	形	2	捌五Va
辛酸	xīnsuān	形	3	伍五Ba
欣然	xīnrán	形	3	伍五Aa
欣赏	xīnshǎng	动	2	伍七Ke
欣慰	xīnwèi	形	4	伍五Fa
欣喜	xīnxǐ	形	3	伍五Aa
欣喜若狂	xīnxǐ-ruòkuáng		3	伍五Aa
欣欣向荣	xīnxīn-xiàngróng		3	捌六Ca
新	xīn	名	3	叁五Ae
新	xīn	形	1	捌三Ka
新	xīn	形	2	捌三Oa
新	xīn	副	1	玖一Ea
新陈代谢	xīnchén-dàixiè		3	伍四Dd
新陈代谢	xīnchén-dàixiè		3	柒四Fc
新春	xīnchūn	名	2	肆一Ga
新房	xīnfáng	名	2	贰六Af
新郎	xīnláng	名	2	壹一Dc
新绿	xīnlǜ	名	3	贰三Jb
新年	xīnnián	名	1	肆一Ha
新娘	xīnniáng	名	2	壹一Dc
新奇	xīnqí	形	3	捌三Kc
新人	xīnrén	名	2	壹一Ib
新生	xīnshēng	名	2	壹一Jr
新生	xīnshēng	形	3	捌三Ka
新式	xīnshì	形	3	捌三Ka
新闻	xīnwén	名	2	叁一Aa
新闻	xīnwén	名	2	叁八Df
新鲜	xīn·xiān	形	1	捌三Ka
新型	xīnxíng	形	3	捌三Ka
新颖	xīnyǐng	形	3	捌三Kc
馨香	xīnxiāng	形	4	捌二Ia
信	xìn	名	1	叁一Dc
信	xìn	名	1	叁八Ee
信	xìn	动	1	伍五Pa
信贷	xìndài	名	4	叁四Eb
信封	xìnfēng	名	2	贰八Ca
信奉	xìnfèng	动	4	伍五Pa
信服	xìnfú	动	4	伍五Qc
信函	xìnhán	名	4	叁八Ee
信号	xìnhào	名	2	叁八Ch
信件	xìnjiàn	名	2	叁八Ee
信口雌黄	xìnkǒu-cíhuáng		4	陆九Ee
信口开河	xìnkǒu-kāihé		3	陆九Ee
信赖	xìnlài	动	3	伍五Pa
信马由缰	xìnmǎ-yóujiāng		4	伍一Ka
信念	xìnniàn	名	3	叁三Ea
信任	xìnrèn	动	2	伍五Pa
信赏必罚	xìnshǎng-bìfá		4	捌五Ja
信使	xìnshǐ	名	3	壹一Lj
信誓旦旦	xìnshì-dàndàn		4	捌五Bc
信手拈来	xìnshǒu-niānlái		4	捌四Kb
信守	xìnshǒu	动	4	陆九Cc
信徒	xìntú	名	3	壹一Lk
信息	xìnxī	名	2	叁一Dc
信箱	xìnxiāng	名	2	贰七Be
信心	xìnxīn	名	2	叁三Aa
信仰	xìnyǎng	名	4	叁三Ea
信仰	xìnyǎng	动	4	伍五Pa
信以为真	xìnyǐwéizhēn		3	伍五Pa
信用	xìnyòng	名	3	叁二Ib
信用卡	xìnyòngkǎ	名	3	贰八Cd
信誉	xìnyù	名	4	叁二Ib
兴奋	xīngfèn	形	2	伍五Da
兴奋剂	xīngfènjì	名	4	贰十一Ba
兴风作浪	xīngfēng-zuòlàng		3	伍七Ga
兴建	xīngjiàn	动	3	陆三Aa
兴利除弊	xīnglì-chúbì		4	柒四Fc
兴隆	xīnglóng	形	3	捌六Ca
兴起	xīngqǐ	动	2	柒四Fd
兴盛	xīngshèng	形	2	捌六Ca
兴师动众	xīngshī-dòngzhòng		4	伍七Ea
兴师问罪	xīngshī-wènzuì		4	陆九Gb
兴旺	xīngwàng	形	3	捌六Ca
兴许	xīngxǔ	副	4	玖一Da
星辰	xīngchén	名	4	贰三Ab
星斗	xīngdǒu	名	2	贰三Ab
星光	xīngguāng	名	2	贰三Fa
星火燎原	xīnghuǒ-liáoyuán		4	柒四Fd
星罗棋布	xīngluó-qíbù		3	捌三Aa
星期	xīngqī	名	1	肆一Ec
星期日	xīngqīrì	名	1	肆一Ec
星期天	xīngqītiān	名	1	肆一Ec
星球	xīngqiú	名	2	贰三Ab
星星	xīng·xing	名	1	贰三Ab
猩红	xīnghóng	形	4	捌二Aa
惺忪	xīngsōng	形	4	捌二Eb
腥臭	xīngchòu	形	3	捌二Ib
腥风血雨	xīngfēng-xuèyǔ		4	捌六Ib
刑罚	xíngfá	名	4	叁五Be
刑法	xíngfǎ	名	3	叁五Ba
行车	xíngchē	动	3	陆四Aa
行程	xíngchéng	名	3	叁一Bd
行动	xíngdòng	名	2	叁四Fa
行动	xíngdòng	动	2	伍一Ka
行贿	xíng//huì	动	4	陆七Ff
行将就木	xíngjiāng-jiùmù		4	捌三Ia
行进	xíngjìn	动	3	伍一Ka
行径	xíngjìng	名	4	叁四Fa
行军	xíng//jūn	动	3	陆六Ca
行礼	xíng//lǐ	动	2	伍三Ga
行李	xíng·li	名	2	贰二Ca
行囊	xíngnáng	名	4	贰二Ca
行窃	xíng//qiè	动	4	陆七Fh
行人	xíngrén	名	2	壹一Lb
行善积德	xíngshàn-jīdé		4	陆十Cb
行尸走肉	xíngshī-zǒuròu		3	壹一Ib
行使	xíngshǐ	动	4	柒三Cb
行驶	xíngshǐ	动	3	陆四Aa
行书	xíngshū	名	3	叁八Ca
行为	xíngwéi	名	2	叁四Fa
行星	xíngxīng	名	3	贰三Ab
行云流水	xíngyún-liúshuǐ		3	捌四Ja
行政	xíngzhèng	名	4	叁一Aa
行之有效	xíngzhīyǒuxiào		3	捌四Fa
行踪	xíngzōng	名	3	叁一Fc
行走	xíngzǒu	动	2	伍一Ka
形成	xíngchéng	动	2	柒三Fa
形单影只	xíngdān-yǐngzhī		4	捌六Dd
形貌	xíngmào	名	4	叁二Fd
形容	xíngróng	动	2	陆九Fh
形容词	xíngróngcí	名	3	叁八Cb
形式	xíngshì	名	2	叁二Ab
形势	xíngshì	名	3	叁一Fa
形势	xíngshì	名	3	叁二Aa
形态	xíngtài	名	3	叁二Aa
形体	xíngtǐ	名	2	壹五Aa
形象	xíngxiàng	名	2	叁二Aa
形象	xíngxiàng	形	2	捌四Hc
形形色色	xíngxíngsèsè	形	3	捌三Ac
形影不离	xíngyǐng-bùlí		3	捌四Ra
形影相吊	xíngyǐng-xiāngdiào		4	捌六Dd
形状	xíngzhuàng	名	1	叁二Aa
省悟	xǐngwù	动	3	伍五Ja
醒	xǐng	动	1	伍四Fc
醒目	xǐngmù	形	3	捌四Sa
醒悟	xǐngwù	动	3	伍五Ja
兴冲冲	xìngchōngchōng	形	3	伍五Aa
兴高采烈	xìnggāo-cǎiliè		2	伍五Aa
兴趣	xìngqù	名	2	叁三Eb
兴味	xìngwèi	名	3	叁三Eb
兴致	xìngzhì	名	4	叁三Eb
兴致勃勃	xìngzhì-bóbó		3	伍五Da
杏黄	xìnghuáng	形	2	捌二Ab
幸而	xìng’ér	副	4	玖一Ge
幸福	xìngfú	名	1	叁一Ec
幸福	xìngfú	形	1	捌六Ia
幸好	xìnghǎo	副	2	玖一Ge
幸亏	xìngkuī	副	2	玖一Ge
幸运	xìngyùn	名	2	叁一Eb
幸运	xìngyùn	形	2	伍八Aa
幸灾乐祸	xìngzāi-lèhuò		3	伍五Nb
性别	xìngbié	名	2	叁二Ba
性格	xìnggé	名	2	叁二Ia
性急	xìng//jí	形	3	捌五Gf
性交	xìngjiāo	动	4	伍四Ea
性命	xìngmìng	名	3	叁一Da
性能	xìngnéng	名	4	叁一Fd
性情	xìngqíng	名	3	叁二Ia
性质	xìngzhì	名	3	叁二Ba
性状	xìngzhuàng	名	4	叁一Fb
姓	xìng	名	1	叁二Hb
姓名	xìngmíng	名	1	叁二Hb
姓氏	xìngshì	名	2	叁二Hb
凶	xiōng	形	2	捌四Ma
凶	xiōng	形	2	捌五Ab
凶暴	xiōngbào	形	3	捌五Ab
凶残	xiōngcán	形	3	捌五Ab
凶多吉少	xiōngduō-jíshǎo		3	伍八Ba
凶恶	xiōng’è	形	2	捌五Ab
凶悍	xiōnghàn	形	4	捌五Ab
凶狠	xiōnghěn	形	2	捌五Ab
凶猛	xiōngměng	形	2	捌四Ma
凶神恶煞	xiōngshén-èshà		4	壹一Gb
凶手	xiōngshǒu	名	2	壹一Gb
凶险	xiōngxiǎn	形	3	捌六Ab
凶相毕露	xiōngxiàng-bìlù		4	捌五Ab
兄弟	xiōng·di	名	1	壹一Ac
兄弟	xiōngdì	名	1	壹一Dg
兄妹	xiōngmèi	名	1	壹一Dg
汹涌	xiōngyǒng	动	3	柒二Oi
汹涌澎湃	xiōngyǒng-péngpài		4	捌四Nb
胸怀	xiōnghuái	名	3	叁二Id
胸怀	xiōnghuái	动	3	柒六Me
胸脯	xiōngpú	名	2	壹五Ae
胸膛	xiōngtáng	名	3	壹五Ae
胸无点墨	xiōngwúdiǎnmò		4	捌五Zb
胸有成竹	xiōngyǒuchéngzhú		3	伍五Ra
雄	xióng	形	2	捌三Ha
雄才大略	xióngcái-dàlüè		4	叁二Ie
雄厚	xiónghòu	形	3	捌六Kb
雄浑	xiónghún	形	4	捌四Nb
雄健	xióngjiàn	形	3	捌四Nb
雄奇	xióngqí	形	4	捌四Nb
雄伟	xióngwěi	形	2	捌四Nb
雄心勃勃	xióngxīn-bóbó		3	捌四Nb
雄心壮志	xióngxīn-zhuàngzhì		3	叁三Ea
雄性	xióngxìng	名	2	叁二Ba
雄壮	xióngzhuàng	形	3	捌四Nb
雄姿	xióngzī	名	3	叁二Fb
熊	xióng	名	2	壹二Bc
熊猫	xióngmāo	名	2	壹二Bc
休假	xiū//jià	动	2	陆一Qb
休憩	xiūqì	动	4	伍七Bc
休息	xiū·xi	动	1	伍七Bc
休闲	xiūxián	动	2	柒三Gb
休想	xiūxiǎng	动	3	玖一Hb
休养	xiūyǎng	动	3	伍七Bd
休养	xiūyǎng	动	3	柒三Gb
休养生息	xiūyǎng-shēngxī		4	柒三Gb
修	xiū	动	2	伍一Jc
修	xiū	动	2	陆三Aa
修	xiū	动	2	陆三Ca
修	xiū	动	4	陆五Ba
修长	xiūcháng	形	3	捌一Fb
修辞	xiūcí	名	4	叁八Ce
修订	xiūdìng	动	2	陆五Ed
修复	xiūfù	动	3	陆三Ca
修改	xiūgǎi	动	2	陆五Ed
修剪	xiūjiǎn	动	2	伍一Jc
修建	xiūjiàn	动	2	陆三Aa
修理	xiūlǐ	动	2	伍一Jc
修理	xiūlǐ	动	2	陆三Ca
修饰	xiūshì	动	3	伍七Be
修饰	xiūshì	动	3	陆五Ed
修行	xiū·xíng	动	4	陆八Ba
修养	xiūyǎng	名	4	叁二Ib
修正	xiūzhèng	动	3	陆五Ed
修筑	xiūzhù	动	3	陆三Aa
羞耻	xiūchǐ	形	4	捌四Ob
羞愧	xiūkuì	形	4	伍五Ee
羞怯	xiūqiè	形	4	伍六Dc
羞涩	xiūsè	形	3	伍六Dc
秀丽	xiùlì	形	1	捌三La
秀美	xiùměi	形	2	捌三La
秀气	xiù·qi	形	2	捌三La
秀气	xiù·qi	形	2	捌三Ma
秀色可餐	xiùsè-kěcān		3	捌三La
秀外慧中	xiùwài-huìzhōng		4	捌三La
秀外慧中	xiùwài-huìzhōng		4	捌五Ta
袖手旁观	xiùshǒu-pángguān		3	伍五Nb
袖珍	xiùzhēn	形	3	捌一Hc
袖子	xiù·zi	名	2	贰七Cc
绣	xiù	动	2	伍七Bh
锈	xiù	名	4	贰三Hb
锈	xiù	动	3	柒四Cc
锈蚀	xiùshí	动	4	柒四Cc
嗅	xiù	动	2	伍二Dc
嗅觉	xiùjué	名	2	叁三Ba
戌	xū	名	4	肆一Ab
吁吁	xūxū	拟声	3	玖七Aa
须	xū	动	2	伍五Zb
须臾	xūyú	名	4	肆一Bb
虚	xū	形	3	捌三Jb
虚	xū	形	2	捌四Ab
虚构	xūgòu	动	4	陆五Ea
虚怀若谷	xūhuái-ruògǔ		4	捌五Ha
虚幻	xūhuàn	形	3	捌四Hd
虚假	xūjiǎ	形	2	捌四Ab
虚名	xūmíng	名	4	叁二Ib
虚拟	xūnǐ	动	4	陆五Ea
虚拟	xūnǐ	形	3	捌四Ab
虚荣	xūróng	形	3	捌五Bc
虚荣心	xūróngxīn	名	3	叁三Aa
虚弱	xūruò	形	2	捌四Nd
虚伪	xūwěi	形	3	捌五Bc
虚位以待	xūwèiyǐdài		4	陆九Ad
虚心	xūxīn	形	2	捌五Ha
虚张声势	xūzhāng-shēngshì		4	伍七Gc
需	xū	动	2	柒六Ia
需求	xūqiú	名	3	叁三Cb
需要	xūyào	名	2	叁三Cb
需要	xūyào	动	2	柒六Ia
徐徐	xúxú	形	3	捌三Pb
许	xǔ	动	3	陆九Ah
许多	xǔduō	数	1	捌三Aa
许久	xǔjiǔ	形	3	捌三Qa
许可	xǔkě	动	3	陆一La
许诺	xǔnuò	动	3	陆九Ah
许配	xǔpèi	动	4	伍七Ld
序	xù	名	3	叁八Gc
序列	xùliè	名	4	叁二Ce
序幕	xùmù	名	3	叁一Bc
叙述	xùshù	动	2	陆九Fg
续	xù	动	3	柒五Ab
絮语	xùyǔ	名	4	叁八Cg
絮语	xùyǔ	动	4	陆九Ed
轩然大波	xuānrán-dàbō		4	叁一Ab
宣布	xuānbù	动	2	陆一Fa
宣称	xuānchēng	动	4	陆九Fe
宣传	xuānchuán	动	2	陆一Oa
宣读	xuāndú	动	3	陆一Fa
宣告	xuāngào	动	3	陆一Fa
宣判	xuānpàn	动	3	陆七Cb
宣誓	xuān//shì	动	3	陆九Ff
宣言	xuānyán	名	2	叁八Ef
宣扬	xuānyáng	动	3	陆一Oa
喧宾夺主	xuānbīn-duózhǔ		3	伍七Gf
喧哗	xuānhuá	形	3	捌六Da
喧闹	xuānnào	形	3	捌六Da
喧嚣	xuānxiāo	形	4	捌六Da
玄机	xuánjī	名	4	叁一Cc
玄妙	xuánmiào	形	4	捌四Kc
悬	xuán	动	3	伍一Eb
悬	xuán	形	4	捌六Ab
悬挂	xuánguà	动	3	伍一Eb
悬挂	xuánguà	动	3	柒二Dd
悬空	xuánkōng	动	3	柒二Dd
悬念	xuánniàn	名	3	叁一Af
悬赏	xuán//shǎng	动	4	陆一Pa
悬殊	xuánshū	形	4	柒六Fa
悬崖	xuányá	名	3	贰三Ba
悬崖勒马	xuányá-lèmǎ		4	伍七Fa
悬崖峭壁	xuányá-qiàobì		3	贰三Ba
旋律	xuánlǜ	名	3	叁九Aa
旋涡	xuánwō	名	3	叁一Ac
旋转	xuánzhuǎn	动	2	柒二Na
选	xuǎn	动	1	伍七Ha
选	xuǎn	动	2	陆一Ja
选拔	xuǎnbá	动	3	陆一Ja
选举	xuǎnjǔ	动	2	陆一Ja
选民	xuǎnmín	名	3	壹一Lf
选手	xuǎnshǒu	名	2	壹一Ji
选修	xuǎnxiū	动	3	陆五Ba
选用	xuǎnyòng	动	2	陆一Jd
选择	xuǎnzé	动	2	伍七Ha
炫目	xuànmù	形	4	捌二Da
炫耀	xuànyào	动	3	伍七Gc
绚烂	xuànlàn	形	4	捌三La
绚丽	xuànlì	形	3	捌三La
绚丽多彩	xuànlì-duōcǎi		3	捌二Ca
旋风	xuànfēng	名	2	贰三Ca
渲染	xuànrǎn	动	4	陆九Eg
削	xuē	动	2	伍一Jb
削减	xuējiǎn	动	3	柒五Ba
削弱	xuēruò	动	3	柒五Bc
削足适履	xuēzú-shìlǚ		4	捌四Ef
靴子	xuē·zi	名	3	贰七Ce
穴位	xuéwèi	名	2	壹五Al
学	xué	动	1	陆五Ba
学	xué	动	1	柒六Ed
学而不厌	xué’érbùyàn		4	捌五Va
学分	xuéfēn	名	2	叁十Bc
学风	xuéfēng	名	2	叁二Ic
学富五车	xuéfùwǔchē		4	捌五Za
学科	xuékē	名	3	叁八Bb
学历	xuélì	名	4	叁四Cc
学年	xuénián	名	2	肆一Ea
学期	xuéqī	名	2	肆一Bb
学生	xué·shēng	名	1	壹一Jr
学时	xuéshí	名	3	肆一Fc
学识	xuéshí	名	3	叁八Ab
学士	xuéshì	名	4	叁四Cc
学术	xuéshù	名	4	叁八Ac
学说	xuéshuō	名	4	叁八Ac
学堂	xuétáng	名	3	叁八Bd
学徒	xuétú	名	3	壹一Jn
学位	xuéwèi	名	4	叁四Cc
学问	xué·wen	名	3	叁八Ab
学习	xuéxí	动	1	陆五Ba
学校	xuéxiào	名	1	叁八Bd
学业	xuéyè	名	3	叁八Bc
学以致用	xuéyǐzhìyòng		4	伍七Ea
学员	xuéyuán	名	2	壹一Jr
学院	xuéyuàn	名	3	叁八Bd
学者	xuézhě	名	3	壹一Ia
雪	xuě	名	1	贰三Cc
雪白	xuěbái	形	1	捌二Ag
雪糕	xuěgāo	名	2	贰九Ag
雪花	xuěhuā	名	1	贰三Cc
雪亮	xuěliàng	形	2	捌二Da
雪泥鸿爪	xuění-hóngzhǎo		4	贰三Ib
雪山	xuěshān	名	1	贰三Ba
雪上加霜	xuěshàng-jiāshuāng		3	伍八Ba
雪中送炭	xuězhōng-sòngtàn		3	陆十Cd
血	xuè	名	1	壹五Ap
血管	xuèguǎn	名	2	壹五Al
血海深仇	xuèhǎi-shēnchóu	名	4	叁一Ee
血红	xuèhóng	形	2	捌二Aa
血迹	xuèjì	名	2	贰三Ib
血口喷人	xuèkǒu-pēnrén		3	陆九Gc
血泊	xuèpō	名	3	贰三Ib
血气方刚	xuèqì-fānggāng		4	捌三Ib
血亲	xuèqīn	名	3	壹一Da
血肉之躯	xuèròuzhīqū		4	壹五Aa
血型	xuèxíng	名	2	叁二Cd
血压	xuèyā	名	3	叁二Gb
血液	xuèyè	名	2	壹五Ap
血缘	xuèyuán	名	2	叁四Bb
勋章	xūnzhāng	名	4	贰八Cg
熏	xūn	动	4	伍七Cb
熏陶	xūntáo	动	4	柒六Oa
寻	xún	动	2	伍七Jc
寻常	xúncháng	形	3	捌四Ca
寻访	xúnfǎng	动	4	陆九Ac
寻花问柳	xúnhuā-wènliǔ		4	伍七Ka
寻欢作乐	xúnhuān-zuòlè		3	伍七Ka
寻觅	xúnmì	动	4	伍七Jc
寻求	xúnqiú	动	3	伍五Uc
寻思	xún·si	动	3	伍五Ra
寻死觅活	xúnsǐ-mìhuó		4	陆十一Ac
寻找	xúnzhǎo	动	2	伍七Jc
巡逻	xúnluó	动	3	陆六Db
巡弋	xúnyì	动	4	陆六Db
询问	xúnwèn	动	2	陆九Fc
循规蹈矩	xúnguī-dǎojǔ		4	捌五Pb
循环	xúnhuán	动	3	柒三Cf
循序渐进	xúnxù-jiànjìn		3	伍八Ma
循循善诱	xúnxún-shànyòu		4	陆五Aa
训	xùn	动	2	陆九Gd
训斥	xùnchì	动	3	陆九Gb
训导	xùndǎo	动	3	陆九Gd
训诫	xùnjiè	动	4	陆九Gd
训练	xùnliàn	动	2	陆五Be
讯问	xùnwèn	动	4	陆七Ca
迅疾	xùnjí	形	4	捌三Pa
迅猛	xùnměng	形	4	捌三Pa
迅速	xùnsù	形	2	捌三Pa
驯服	xùnfú	动	4	陆十一Ec
驯服	xùnfú	形	4	捌五Cd
驯化	xùnhuà	动	4	陆十一Ec
驯良	xùnliáng	形	4	捌五Cd
徇私舞弊	xùnsī-wǔbì		4	陆七Fa
逊色	xùnsè	形	4	捌四Bb
殉职	xùn//zhí	动	4	伍四Cc
丫头	yā·tou	名	2	壹一Bb
压	yā	动	1	伍一Ae
压	yā	动	2	伍五Lc
压	yā	动	2	柒六Fd
压倒	yā//dǎo	动	3	陆十一Dd
压力	yālì	名	2	叁二Gb
压迫	yāpò	动	2	陆十一Hf
压岁钱	yāsuìqián	名	2	叁七Fb
压缩	yāsuō	动	2	柒五Ba
压抑	yāyì	动	3	伍五Lc
压榨	yāzhà	动	4	陆十一He
压制	yāzhì	动	3	陆十一Dd
呀	yā	助	1	玖四Ca
呀	yā	叹	1	玖五Ba
押	yā	动	4	陆七Dd
押解	yājiè	动	4	陆七Dd
鸦雀无声	yāquè-wúshēng		2	捌六Db
鸭	yā	名	1	壹二Dd
牙	yá	名	1	壹五Ad
牙齿	yáchǐ	名	1	壹五Ad
牙膏	yágāo	名	2	贰七Bc
牙关	yáguān	名	2	壹五Ad
牙刷	yáshuā	名	1	贰七Bc
牙牙学语	yáyá-xuéyǔ		3	柒六Ed
芽	yá	名	2	壹五Ca
哑	yǎ	动	2	伍四Hb
哑	yǎ	形	2	捌二Gc
哑巴	yǎ·ba	名	2	壹一Fb
哑口无言	yǎkǒu-wúyán		3	伍六Ba
雅俗共赏	yǎsú-gòngshǎng		3	伍七Ke
雅致	yǎ·zhi	形	4	捌三La
亚军	yàjūn	名	2	壹一Ia
亚热带	yàrèdài	名	3	贰三Ac
轧	yà	动	4	伍一Ag
咽	yān	名	2	壹五Ad
咽	yàn	动	2	伍二Ea
咽喉	yānhóu	名	3	壹五Ad
咽喉	yānhóu	名	4	肆二Cg
殷红	yānhóng	形	4	捌二Aa
胭脂	yān·zhi	名	3	贰七Bm
烟	yān	名	1	贰三Eb
烟	yān	名	2	贰十一Ad
烟尘	yānchén	名	2	贰三Ha
烟雾	yānwù	名	2	贰三Eb
烟消云散	yānxiāo-yúnsàn		3	柒三Ga
淹	yān	动	2	柒二Oe
淹没	yānmò	动	2	柒二Oe
延	yán	动	2	柒二Ca
延	yán	动	2	柒三Eb
延长	yáncháng	动	2	柒二Ca
延迟	yánchí	动	3	柒三Eb
延缓	yánhuǎn	动	3	柒三Eb
延年益寿	yánnián-yìshòu		3	捌三Ia
延期	yán//qī	动	2	柒三Eb
延伸	yánshēn	动	3	柒二Ca
延误	yánwù	动	3	柒三Ec
延续	yánxù	动	3	柒三Cd
严	yán	形	2	捌三Ea
严	yán	形	2	捌五Ma
严惩不贷	yánchéng-bùdài		4	陆七Da
严冬	yándōng	名	3	肆一Ga
严格	yángé	形	2	捌五Ma
严寒	yánhán	形	2	捌二Na
严谨	yánjǐn	形	4	捌四Gc
严谨	yánjǐn	形	4	捌五Gc
严禁	yánjìn	动	2	陆一Na
严峻	yánjùn	形	4	捌四Ma
严峻	yánjùn	形	4	捌五Ea
严酷	yánkù	形	3	捌五Ma
严厉	yánlì	形	2	捌五Ma
严密	yánmì	形	3	捌四Gc
严明	yánmíng	形	4	捌五Ja
严实	yán·shi	形	3	捌三Ea
严肃	yánsù	形	2	捌五Ea
严于律己	yányúlǜjǐ		4	伍五Lc
严阵以待	yánzhènyǐdài		4	陆六Aa
严整	yánzhěng	形	4	捌六Ha
严正	yánzhèng	形	4	捌五Eb
严重	yánzhòng	形	2	捌四Ma
言不由衷	yánbùyóuzhōng		4	捌五Bc
言传身教	yánchuán-shēnjiào		3	陆五Aa
言辞	yáncí	名	4	叁八Cg
言归于好	yánguīyúhǎo		3	陆九Cb
言归正传	yánguīzhèngzhuàn		3	柒四Ad
言过其实	yánguòqíshí		4	陆九Eg
言简意赅	yánjiǎn-yìgāi		4	捌三Ad
言论	yánlùn	名	3	叁八Ed
言听计从	yántīng-jìcóng		3	捌五Cd
言外之意	yánwàizhīyì		3	叁八Ga
言语	yányǔ	名	2	叁八Cg
岩层	yáncéng	名	4	贰三Ac
岩石	yánshí	名	2	贰四Cb
炎黄子孙	Yán-Huáng zǐsūn		3	叁四Ac
炎热	yánrè	形	2	捌二Nb
沿	yán	名	2	贰二Fb
沿	yán	介	2	玖二Eb
沿海	yánhǎi	名	2	肆二Ag
沿途	yántú	名	3	肆二Ag
研读	yándú	动	3	陆五Ca
研发	yánfā	动	4	陆五Da
研究	yánjiū	动	2	伍五Ra
研究	yánjiū	动	2	陆五Da
研究生	yánjiūshēng	名	4	壹一Jr
研讨	yántǎo	动	4	陆一Ka
研讨	yántǎo	动	4	陆五Da
研制	yánzhì	动	3	陆五Da
盐	yán	名	2	贰九Af
阎王	Yán·wang	名	4	壹一Gb
筵席	yánxí	名	4	叁四Fc
颜料	yánliào	名	2	贰八Ca
颜色	yánsè	名	1	贰三Ja
奄奄一息	yǎnyǎnyīxī		4	伍四Ce
俨然	yǎnrán	形	4	捌五Eb
俨然	yǎnrán	形	4	捌六Ha
俨然	yǎnrán	副	4	玖一Da
掩藏	yǎncáng	动	3	伍七Ja
掩耳盗铃	yǎn’ěr-dàolíng		3	陆十一Cd
掩盖	yǎngài	动	3	陆十一Cd
掩盖	yǎngài	动	3	柒二Bd
掩护	yǎnhù	动	3	陆六Cb
掩护	yǎnhù	动	3	陆十Ea
掩人耳目	yǎnrén’ěrmù		3	陆十一Cd
掩饰	yǎnshì	动	3	陆十一Cd
掩映	yǎnyìng	动	4	柒六Ge
眼巴巴	yǎnbābā	形	2	伍五Ua
眼高手低	yǎngāo-shǒudī		3	捌五Gf
眼光	yǎnguāng	名	2	叁二Fc
眼光	yǎnguāng	名	3	叁二If
眼光	yǎnguāng	名	3	叁三Da
眼红	yǎnhóng	形	2	伍五Gb
眼花缭乱	yǎnhuā-liáoluàn		3	捌二Ca
眼疾手快	yǎnjí-shǒukuài		3	捌五Tc
眼睑	yǎnjiǎn	名	4	壹五Ad
眼界	yǎnjiè	名	3	叁三Da
眼睛	yǎn·jing	名	1	壹五Ad
眼镜	yǎnjìng	名	1	贰七Bg
眼眶	yǎnkuàng	名	2	壹五Ad
眼泪	yǎnlèi	名	1	壹五Aq
眼力	yǎnlì	名	3	叁二Ga
眼力	yǎnlì	名	3	叁二If
眼帘	yǎnlián	名	4	壹五Ad
眼皮	yǎnpí	名	2	壹五Ad
眼前	yǎnqián	名	3	肆一Dd
眼前	yǎnqián	名	1	肆二Ae
眼圈	yǎnquān	名	2	壹五Ad
眼色	yǎnsè	名	2	叁二Fc
眼神	yǎnshén	名	2	叁二Fc
眼下	yǎnxià	名	3	肆一Dd
眼睁睁	yǎnzhēngzhēng	形	3	伍五Be
眼珠	yǎnzhū	名	2	壹五Ad
演	yǎn	动	2	陆五Fa
演变	yǎnbiàn	动	3	柒四Aa
演唱	yǎnchàng	动	2	陆五Fc
演出	yǎnchū	动	3	陆五Fa
演技	yǎnjì	名	3	叁二Ie
演讲	yǎnjiǎng	动	2	陆九Eb
演练	yǎnliàn	动	4	陆五Be
演示	yǎnshì	动	3	柒六Be
演说	yǎnshuō	动	3	陆九Eb
演习	yǎnxí	动	4	陆五Be
演绎	yǎnyì	动	4	陆五Db
演员	yǎnyuán	名	2	壹一Jl
演奏	yǎnzòu	动	2	陆五Fe
厌烦	yànfán	动	3	伍五Ha
厌倦	yànjuàn	动	3	伍五Ha
厌恶	yànwù	动	3	伍五Ha
砚	yàn	名	4	贰八Ca
咽气	yàn//qì	动	3	伍四Cd
艳丽	yànlì	形	2	捌三La
艳阳天	yànyángtiān	名	3	肆一Ed
宴会	yànhuì	名	3	叁四Fc
宴请	yànqǐng	动	3	伍七Ce
验	yàn	动	2	陆一Ia
验收	yànshōu	动	4	陆一Ia
验证	yànzhèng	动	3	柒六Bg
